Category,Title,Snippet
Books,Wellness is a seductive lie +AOIAgACT and it is changing how we treat illness,In 2017 I received an Arts Council England grant to complete research for my book Sanatorium. Writing a book was the only way I could think of funding +ICY
Music,Sound recovery: how live music is returning to Munich,It was at the end of May that I heard live music for the first time in almost three months. Not over Zoom or YouTube. There were no cameras or wireles +ICY
UK-News,National Trust hastens projects exposing links of country houses to slavery,"If the National Trust evokes images of Jane Austen country houses, manicured gardens and cream teas, the recent Black Lives Matter protests and decolo +ICY"
Books,Poem of the week: Glacier by Gillian Clarke,"Glacier The miles-deep Greenland glacier+AOIAgACZ-s lost its grip, sliding nine miles a year towards the sea on its own melt-water. As, forty years ago, the sl +ICY"
UK-News,Reading knife attack: US-born man named as one of victims,"A US-born man was one of the victims of the suspected terror attack in Reading, where he worked for a pharmaceutical company, it has been reported. Jo +ICY"
Music,Mariah Carey: where to start in her back catalogue,"The album to start with Butterfly (1997) Mariah Carey+AOIAgACZ-s early 90s commercial megastardom was founded on the basis of her virtuoso vocal prowess, but h +ICY"
Music,"Jessie Ware webchat: your questions answered on sweaty clubs, table manners and activism",But we leave on a tasty note: cedwards2817 asks I adore listening to Table Manners - what would your desert island meal and/or disc be? laurasnapes as +ICY
Music,Rock against racism? Metal's varied response to Black Lives Matter,"There+AOIAgACZ-s no point denying metal has a more complicated relationship with race than many of its adherents would like to admit, or confront. At its most +ICY"
Books,"Tips, links and suggestions: what are you reading this week?",Welcome to this week+AOIAgACZ-s blogpost. Here+AOIAgACZ-s our roundup of your comments and photos from the last week. GELBuck +AOIAgACc-has just surfaced after a couple of weeks +ICY
Books,Felicity Bryan obituary,"Felicity Bryan, who has died of cancer aged 74, was the founder in 1988 of the distinguished literary agency Felicity Bryan Associates. She was liked +ICY"
Music,Iestyn Davies/Elizabeth Kenny review +AOIAgACT sweet melancholy and liquid beauty,"Summary: Music itself and its power to console was the underlying theme of countertenor Iestyn Davies+AOIAgACZ-s lockdown recital with lutenist Elizabeth Kenny, a conce +ICY"
Music,Martin Loveday obituary,"Summary: My brother-in-law Martin Loveday, who has died aged 62 from Covid-19 while undergoing treatment for myeloma, was an accomplished and popular cellist. +ICY"
UK-News,Reading terror suspect had PTSD and other mental health issues,"The suspect in the Reading attack had been diagnosed with post-traumatic stress disorder (PTSD), depression and an emotionally unstable personality di +ICY"
UK-News,"Scrap Stonehenge road tunnel plans, say archaeologists after neolithic discovery",Leading archaeologists say a +AMIAow-1.6bn scheme to build a road tunnel through the historic Stonehenge landscape should be scrapped altogether after the se +ICY
Music,Paul McCartney calls for meat to no longer be mandatory in England's school meals,"Sir Paul McCartney and his daughters Stella and Mary have joined a call to change guidance that makes it mandatory to serve fish, meat and dairy in En +ICY"
UK-News,Reading attack victims praised as the 'loveliest people',"The victims killed in Saturday+AOIAgACZ-s suspected terrorist attack were three friends who regularly socialised together and were described as +AOIAgACc-the kindest, m +ICY"
Books,"Rag and Bone by Lisa Woollett review +AOIAgACT of mudlarks, scavengers and beachcombers","Lisa Woollett grew up on the Isle of Sheppey, at the mouth of the Thames. As a child she became fascinated by what the estuary had swallowed and what +ICY"
Music,'We're not doing this to be ironic': are 100 Gecs the world's strangest band?,"For many US musicians, the height of ambition is winning a Grammy award. More ambitious performers might aim for an EGOT (Emmy, Grammy, Oscar, Tony). +ICY"
Music,Queen +AOIAgACTAMIAoA-not that one +AOIAgACTAMIAoA-to appear on postage stamps,"No, not that one +AOIAgACT the rock band Queen are to feature on a series of UK postage stamps over the summer. They become only the third band to be honoured +ICY"
Books,Charles Dickens wrote no fairytale endings +AOIAgACTAMIAoA-or did he?,Summary: Charles Dickens was 53 when he finished Our Mutual Friend +AOIAgACT and kept working furiously until he died five years later. He had no idea that when he wro +ICY
Books,+AOIAgACY-Black and Asian people not seen as readers+AOIAgACZ: Bernardine Evaristo condemns books industry,"Bernardine Evaristo, the first black woman to win the Booker prize, has hit out at +AOIAgACc-ridiculous+AOIAgACd and +AOIAgACc-misguided+AOIAgACd beliefs in the publishing industry, wh +ICY"
Music,Queer as folk: traditional British music is now telling LGBT stories,"In February, on the final night of this year+AOIAgACZ-s Celtic Connections festival, folk music travelled through time in two directions at once. In the main r +ICY"
UK-News,Rebekah Vardy sues Coleen Rooney over 'Wagatha Christie' claims,"Rebekah Vardy has launched defamation proceedings against Coleen Rooney at the high court in London, in what could be an extraordinary legal case deta +ICY"
Music,Benjamin Baker/Timothy Ridout review +AOIAgACT violin and viola duo make the most of thin pickings,Even the most passionate violinists and viola-players would hardly claim that the duo repertoire for their instruments is particularly distinguished. +ICY
UK-News,Reading attack: further tributes to victims as police question suspect,"Further tributes have been paid to three men from the LGBT community killed in the knife attack in Reading, as detectives continued to question the su +ICY"
UK-News,Reading attack: suspect ruled out as possible terrorist twice in two years,"The suspect in the Reading stabbings was twice assessed by security services but was deemed to pose no danger of staging an attack, it has emerged. Kh +ICY"
UK-News,Former officer claims racism forced her out of Met police,"A former officer for the Metropolitan police has lodged two claims with an employment tribunal against the force, citing a hostile and +AOIAgACc-racist+AOIAgACd work e +ICY"
Books,Survivor Song by Paul Tremblay; Devolution by Max Brooks review +AOIAgACT tales of apocalypse,"The horror genre offers a frame of reference for global pandemic, however unsettling. In the early weeks of the outbreak Contagion leapt to the top of +ICY"
Music,'A billboard with 50 years of layers': readers on Bob Dylan's Rough and Rowdy Ways,"Paul G, Devon Sometimes, it+AOIAgACZ-s good to sit on the porch with ol+AOIAgACZ Bob. He was quite the hurricane back in the day, but now he likes to sip whiskey and t +ICY"
Books,Top 10 books about remaking the future,There is no consensus on what constitutes a better future or how to cultivate one +AOIAgACT such nebulous concepts can really only be interpreted through the +ICY
UK-News,China defies court order over building of wall at Belfast consulate,A row over the construction of a wall at the Chinese consulate in Belfast has escalated after China said it would ignore a legal order to temporarily +ICY
UK-News,Covid-19 sparks exodus of middle-class Londoners in search of the good life,"The 2-metre rule may be about to be diluted in England, but job-hunters and home buyers are seeking a more profound form of social distancing post-loc +ICY"
Music,Never mind the ballads! How bardcore took over pop music,Name: Bardcore. Age: A couple of months (if we ignore Sting). Musicologists may come to see 20 April as the starting point. Appearance: Modern hit son +ICY
Books,'Axis of adults': are the White House staff working together to keep Trump in line?,"In his White House memoir, John Bolton, the belligerently moustachioed former national security adviser, calls the few rational personnel around the p +ICY"
Books,Michael Rosen home from intensive care after coronavirus,Michael Rosen has finally made it back home after going into intensive care with Covid-19 at the end of March. The award-winning and popular poet and +ICY
Books,Authors call for removal of Booker prize vice-president over 'homophobic' views,"Damian Barr is leading a charge of writers, including one former Booker prize winner, who are calling on the Booker Foundation to remove the allegedly +ICY"
UK-News,Two children and adult injured in suspected gas explosion in south Wales,Two children and an adult were injured in a suspected gas explosion at a terrace house in south Wales. Neighbouring houses and cars were also damaged +ICY
UK-News,UK weather: temperatures near 33C on hottest day of year so far,"Britain has been basking in sunshine on the hottest day of the year so far, the Met Office has confirmed, as the temperature peaked at 32.6C (90.6F) o +ICY"
UK-News,Man paralysed after being shot by police with Taser weapon vows to get justice,A young black man from north London who has been left paralysed from the chest down after being shot by police with a Taser weapon as he jumped over a +ICY
UK-News,'White Lives Matter' plane organiser says police have offered protection,"A man who said he organised the +AOIAgACc-White Lives Matter Burnley+AOIAgACd stunt, in which an aircraft towed a banner bearing the words over a Premier League match +ICY"
Books,The surge in sales of Indigenous books is heartening but education takes many forms,"Summary: In the wake of the Black Lives Matter and Aboriginal Lives Matter movements, many of my friends and colleagues have been inundated with requests +AOIAgACT how +ICY"
Music,Rodney P meets Kojey Radical: 'I don't want my son to always have to fight',"Although separated by generations, there is a shared sense of black empowerment and rebellion coursing through the music of Rodney P and Kojey Radical +ICY"
Books,Rummage by Emily Cockayne review +AOIAgACT the joys of rubbish,"In 1947 the nation was shocked to hear that British troops in Egypt were wearing pants made out of old flour bags. The war was over, we had won, and y +ICY"
Music,Good vibrations: how Bandcamp became the heroes of streaming,"When Ethan Diamond founded Bandcamp in 2008, he imagined it an alternative to MySpace: an easy-to-use website where bands could interact with fans and +ICY"
Books,Delivering joy: meet south London's lockdown book angel,"In the three months since lockdown began, I+AOIAgACZ-ve spent more on books than I care to admit. But with charity shops and secondhand bookshops shut, donatin +ICY"
Music,Michael Eavis: Glastonbury could go bankrupt if it can't be staged in 2021,Glastonbury organisers Michael and Emily Eavis fear they could be in serious financial danger if the festival was cancelled again due to coronavirus. +ICY
UK-News,From cold to coma to homecoming: one woman's 100 days of coronavirus,"When Mandy Mitchell was admitted to hospital in the small hours of Mothering Sunday, the UK had not yet gone into full lockdown and the prime minister +ICY"
Books,Unfinished story by Little Women author Louisa May Alcott published for first time,"An early story from a young Louisa May Alcott, in which the Little Women author writes of two teenage girls vying for the attentions of a handsome you +ICY"
Books,Roger Robinson meets Rachel Long: 'I feel like a mosquito taking on Godzilla',"Roger Robinson, 52, is the 2020 winner of the TS Eliot prize and the Ondaatje prize for his latest collection A Portable Paradise. Having previously e +ICY"
UK-News,Scottish villagers plan to buy out landowners for eco moorland project,"A small community in the rolling uplands of southern Scotland hopes to create a major new nature reserve, straddling more than 10,000 acres of heather +ICY"
UK-News,Lock-change eviction threat lifted for asylum seekers in Glasgow,"Summary: Asylum seekers in Glasgow will no longer face the threat of eviction by lock change, after the private housing contractor Mears confirmed it +AOIAgACc-does not +ICY"
Books,Booker foundation vice-president removed after 'homophobia' row,Emma Nicholson has been removed from her honorary position as vice-president of the Booker Foundation after a groundswell of opposition from the liter +ICY
Music,Zemlinsky: Die Seejungfrau review +AOIAgACT baffling neglect of a glorious mermaid,There have been a number of occasions in the past few decades when it seemed as if the music of Alexander Zemlinsky would finally receive the attentio +ICY
Music,"After 50 years, Glastonbury festival is a triumph of eccentric English culture","The truth of the matter is that Glastonbury never really asked the Rolling Stones to play before +AOIAgACT I heard they had thought about it, but no official +ICY"
Music,Angela Hewitt review +AOIAgACT intimate and introspective Bach,"Although more concerts at Wigmore Hall are planned for September, Angela Hewitt gave the penultimate recital in the current lunchtime series at the Lo +ICY"
UK-News,Two Met police officers arrested over photo of murdered sisters,"Summary: Two Metropolitan police officers have been arrested after a photograph was allegedly taken of the bodies of murdered sisters in a London park, the Gua +ICY"
UK-News,"Tate Modern attacker should remain in secure hospital, court hears",The teenager who threw a six-year-old child off a viewing platform at Tate Modern in London should be detained in a secure hospital rather than in you +ICY
UK-News,'It's manic that way': seeking a slice of normality on Southend beach,"For those in any doubt about the lockdown latest, Wednesday+AOIAgACZ-s front pages could not have been clearer. The Daily Telegraph quoted the words of the pri +ICY"
Music,From Bowie to Beyonc+AMMAqQ: Glastonbury's 50 greatest moments,Summary: 1. The first year (1970) Glastonbury festival+AOIAgACZ-s first ever booking came from Michael Eavis serenading his cows with the Kinks. +AOIAgACc-I was playing Lola to +ICY
Music,Martin Parr's Glastonbury tour +AOIAgACT photo essay,This week I should have been experiencing and photographing the Glastonbury festival for the first time. That it would have been my first is for me is +ICY
Books,The Next Great Migration by Sonia Shah review +AOIAgACT movement is central to human history,"+AOIAgACc-A wild exodus has begun,+AOIAgACd writes Sonia Shah early on in The Next Great Migration. +AOIAgACc-It is happening on every continent and in every ocean.+AOIAgACd In respons +ICY"
Music,Haim: Women in Music Pt III review +AOIAgACT a cathartic walk on the blue side of life,"On Haim+AOIAgACZ-s third album, frontwoman Danielle drives endlessly around LA, away from a shaky relationship and her own malaise, sometimes towards illicit d +ICY"
Music,Her finest hour: why Glastonbury festival owes so much to Churchill+AOIAgACZ-s granddaughter,"Normally in late April, the family home where Haggis McLeod raised his daughter Jess would be chaotic. There would be paperwork up to the ceilings +AOIAgACT l +ICY"
Books,Johny Pitts: 'War and Peace is just ... so long',"The book I am currently reading When the world feels like it+AOIAgACZ-s on fire, I often step back into the recent past for answers. I+AOIAgACZ-ve just started The Tope +ICY"
Music,Trax Records: Larry Heard and Robert Owens sue for $1m 'unpaid' royalties,Summary: The foundational house music producers Larry Heard (AKA Mr Fingers) and Robert Owens are suing Trax Records for allegedly unpaid royalties. In a feder +ICY
Music,"Tracks of the week reviewed: Kiesza, Jorja Smith, Dalai Lama","Kiesza Love Me With Your Lie Even if she had never released anything else after her 2014 banger Hideaway, pirouetting firecracker Kiesza would for eve +ICY"
UK-News,Tate Modern attacker Jonty Bravery seemed set on horrific plan,"It had been an idyllic summer+AOIAgACZ-s day in London for the six-year-old boy and his family, who were on holiday from France. They had spent the morning sig +ICY"
Books,Kevin Kwan: 'With Crazy Rich Asians my life exploded and I+AOIAgACZ-m still trying to put it back together',"It+AOIAgACZ-s difficult to square Kevin Kwan, modern master of high romp, with the dark and brooding personality he claims as his default setting. +AOIAgACc-I+AOIAgACZ-m actuall +ICY"
Books,'The fascists were upset': radical Austrian fairytales published in English for first time,"Summary: A set of radical fairytales, written by an Austrian aristocrat in the early 20th century to promote social justice, will be published in English for t +ICY"
UK-News,Digested week: good old British common sense has people besieging the beaches,Monday I+AOIAgACZ-d never heard of Murillo+AOIAgACZ-s Immaculate Conception before I saw the photos of its restoration that made the painting look like some piece of ta +ICY
UK-News,Jonty Bravery jailed for attempted murder of boy at Tate Modern,"Summary: A teenager who threw a six-year-old child off a viewing platform at the Tate Modern gallery in London will serve at least 15 years in prison, the Old +ICY"
UK-News,Tell us: how have you been affected by the incident in Glasgow?,Armed police were sent entering a building on West George Street in Glasgow after a serious police incident was declared and the public were warned to +ICY
UK-News,'One in a 50m chance': woman with two wombs carrying a twin in each,The case of a woman who discovered she had two wombs and was pregnant with a twin in each has been described as +AOIAgACc-one in 50m+AOIAgACd by doctors. Kelly Fairhur +ICY
UK-News,'The atmosphere was ugly': Bournemouth aghast at beach chaos,"Summary: Ben Waugh, who runs a bicycle hire shop on the seafront at Bournemouth, has lived in the seaside resort all his life but has never seen so many people +ICY"
UK-News,Liverpool rejoices in Reds' title: 'It feels like a huge release for the city',"+AOIAgACc-He+AOIAgACZ-s meant to be shielding, so this is a bit naughty,+AOIAgACd said Rachel Taylor as she unloaded her son+AOIAgACZ-s wheelchair from a minibus outside Anfield on Frid +ICY"
Music,"US rapper Huey, known for hit Pop, Lock & Drop It, killed in shooting aged 32","Summary: Huey, the US rapper who scored a major hit in 2006 with Pop, Lock & Drop It, has been killed aged 32. Huey, whose real name was Lawrence Franks Jr, wa +ICY"
UK-News,"C of E should rethink portrayal of Jesus as white, Welby says",The Anglican church should reconsider the way statues and other representations of Jesus portray him as white in the light of the Black Lives Matter p +ICY
Music,Mark Padmore/Mitsuko Uchida review +AOIAgACT recital series ends on compelling and sombre note,"When June+AOIAgACZ-s Wigmore Hall concerts were announced one wondered if it were a misjudgment to end them with Schubert+AOIAgACZ-s Winterreise. To be fair, the schedu +ICY"
UK-News,Six seriously injured in Glasgow attack and suspect killed by police,"Summary: Six people including a police officer and two teenagers were seriously injured, and the alleged perpetrator shot dead by police, after multiple stabbi +ICY"
UK-News,Outreach workers shocked by attack at Glasgow hotel,"At just after 1pm on Friday, the streets of Glasgow city centre +AOIAgACT until then quiet as many of Scotland+AOIAgACZ-s lockdown restrictions remain in force +AOIAgACT were +ICY"
UK-News,Glasgow attack: police name injured police officer +AOIAgACT as it happened,We are now closing this live blog. Please read our full report here A police constable is among six people seriously injured after multiple stabbings +ICY
Music,Beyonc+AMMAqQ's classic Glastonbury 2011 set +AOIAgACTAMIAoA-as it happened (nine years ago),So that was it. For the full experience you now need to get Zane Lowe on to smirk that he didn+AOIAgACZ-t see Beyonc+AMMAqQ as he was watching +AOIAgACc-real music+AOIAgACd (Queens o +ICY
Books,The Group by Lara Feigel review +AOIAgACT friendship and privilege,"Summary: It is intriguing that Lara Feigel, who has previously wandered the debatable lands between academic research and experimental nonfiction in writing ab +ICY"
Books,What if Amy Winehouse had written novels?,"When this year+AOIAgACZ-s Glastonbury was cancelled, I started thinking about music a lot and, by extension, lyrics. Even though I+AOIAgACZ-m in the business of the wri +ICY"
UK-News,'People were abandoned': injustices of pandemic laid bare in Brent,"Rhoda Ibrahim had been excited to celebrate International Women+AOIAgACZ-s Day. The community leader, 57, has spent three decades championing the rights of Som +ICY"
Books,Becoming a writer exposed my dirty secret: I+AOIAgACZ-d stopped reading. Now I+AOIAgACZ-m back at it,"The man behind the camera gave me an odd look. +AOIAgACc-The spider from Charlotte+AOIAgACZ-s Web?+AOIAgACd I had travelled to the television set in Scotland by train, which ha +ICY"
Books,Solitary citizens: the politics of loneliness,In recent years loneliness has been much in the news. Prior to Covid-19 it was regularly described as an epidemic. Now that we are in the middle of a +ICY
Books,Lee Child on Jack Reacher: 'I don't like him that much',"Jack Reacher has millions of fans all over the world, but his creator, Lee Child, has revealed he doesn+AOIAgACZ-t +AOIAgACc-like Reacher that much+AOIAgACd and originally plan +ICY"
Books,Children+AOIAgACZ-s books roundup +AOIAgACT the best new picture books and novels,"Warm, consoling, funny and sad, this month+AOIAgACZ-s picture books offer something for every mood. From Anne Booth and Robyn Wilson-Owen, Bloom (Tiny Owl) is +ICY"
Books,"Me and my detective by Lee Child, Attica Locke, Sara Paretsky, Jo Nesb+AMMAuA and more","+AOIAgACc-I+AOIAgACZ-ve been doing it 24 years now and I couldn+AOIAgACZ-t do it any more,+AOIAgACd says Lee Child as he hands over the reins of his Jack Reacher series to his brother A +ICY"
Music,Classical home listening: from the salon to storm-tossed Aldeburgh,"+AOIAgACi This week we enter the salon. Please don+AOIAgACZ-t leave. While not quite champing at the bit for CDs of music by Alfredo Piatti (1822-1901), a star of that +ICY"
Music,Haim: Women in Music Pt III review +AOIAgACT their most direct album yet,"A certain lightness has always played about the work of Haim, the three multi-instrumentalist sisters from Los Angeles. Even as their two critically a +ICY"
Books,The best books for frazzled parents +AOIAgACT and their children,Books offering support to parents have come on in leaps and bounds since the days when Gina Ford and Supernanny-style discipline reigned supreme. My g +ICY
Music,Kansas Smitty's: Things Happened Here review +AOIAgACT irresistibly groovy,"Kansas Smitty+AOIAgACZ-s is a live-music bar in Hackney, east London. It+AOIAgACZ-s also the name of the seven-piece band that runs the place and calls it home, a band +ICY"
UK-News,PSNI confirm body found is that of missing teenager Noah Donohoe,Police have confirmed that the body of missing teenager Noah Donohoe has been recovered in north Belfast. The Police Service of Northern Ireland (PSNI +ICY
UK-News,Coronavirus: Met promises to act on illegal parties that flout regulations,Summary: The Metropolitan police commissioner has promised to break up events in London that flout coronavirus regulations after disorder on three consecutive +ICY
Books,"Masha Gessen: 'I never thought I'd say it, but Trump is worse than Putin'",Masha Gessen is a Russian-American author and journalist who has been writing about Vladimir Putin and other modern autocrats for two decades. After D +ICY
Books,"Nicole Chung: 'If my life were fiction, you would not believe it'","Nicole Chung, 39, was born in Seattle and placed for adoption by her Korean parents, before being raised by a white family in Oregon. Her memoir, All +ICY"
UK-News,Police officer stabbed in Glasgow says his colleagues saved lives,"The policeman injured in a knife attack at a Glasgow hotel has thanked his colleagues for saving lives. Constable David Whyte, 42, was one of six peop +ICY"
UK-News,Tory rebels call for 28-day limit on detention of migrants,Boris Johnson is facing a Tory rebellion this week over +AOIAgACc-inhumane+AOIAgACd Home Office rules that allow the indefinite detention of asylum seekers and others +ICY
Music,Adele's classic Glastonbury 2016 set +AOIAgACTAMIAoA-as it happened (four years ago),"Summary: Earlier on Adele said: +AOIAgACc-I don+AOIAgACZ-t really have many upbeat happy songs which I think is why a lot of people moaned about me coming tonight, but fuck you, +ICY"
Books,Ernest Bevin: Labour's Churchill by Andrew Adonis +AOIAgACT review,"Shortly after the formation of the wartime coalition in May 1940, the Evening Standard published one of David Low+AOIAgACZ-s most celebrated cartoons. Above th +ICY"
UK-News,'I've been dreaming of this day': happy campers return to Northern Ireland,"Under the mountains of Mourne close to Castlewellan Forest Park+AOIAgACZ-s lake, a young family were celebrating the liberation of campsites from lockdown in N +ICY"
Books,Poetic justice: black lives and the power of poetry,"Performance poetry revolutionised me. When I was 13, my mother invited me to a group called Leeds Young Authors, which she co-ran with founder and poe +ICY"
Books,The Room Where It Happened by John Bolton review +AOIAgACT a monument to his own grandiosity,Any hairdresser could have told them it wouldn+AOIAgACZ-t work. Trump initially refused to hire John Bolton because he disliked his moustache. That walrus brus +ICY
Books,Ashley 'Dotty' Charles: 'Few moments compare to meeting Oprah!',"Ashley +AOIAgACc-Dotty+AOIAgACd Charles is the host of BBC+AOIAgACZ-s 1Xtra breakfast show. Charles, 32, grew up in south London with two brothers and a sister and began rappin +ICY"
Books,In brief: The Rain Heron; One Long and Beautiful Summer; The Nickel Boys +AOIAgACT review,"Summary: The Rain Heron Robbie Arnott Atlantic, +AMIAow-14.99, p288 A quietly unsettling fable set in a country beset by ecological, political and economic difficulty +ICY"
Music,Nadine Shah: Kitchen Sink review +AOIAgACT razor-sharp observations,"North-eastern singer-songwriter Nadine Shah won acclaim +AOIAgACT and a Mercury prize nomination +AOIAgACT for her 2017 album, Holiday Destination, in part because sh +ICY"
UK-News,Officials deal with more than 200 people wild camping in Lake District,"More than 200 people have been caught wild camping in the Lake District, with 20 people fined for having a party on one of the fells and others lighti +ICY"
UK-News,Police cordon off part of street in Glasgow after man stabbed,Police have cordoned off part of a street in Glasgow city centre after a man was stabbed less than a mile from the scene of Friday+AOIAgACZ-s knife attack at t +ICY
Music,Jessie Ware: What's Your Pleasure? review +AOIAgACT rooted in lustful disco,"Summary: Jessie Ware emerged in 2010, lending her silken vocals to electro producer SBTRKT. A solo career followed but, while the London singer-songwriter+AOIAgACZ-s fi +ICY"
Books,"Rigged: America, Russia and 100 Years of Covert Electoral Interference by David Shimer - review","In 1972, Willy Brandt, the West German chancellor, faced a no-confidence vote tabled by the opposition conservatives. The omens didn+AOIAgACZ-t look good. If a +ICY"
Music,Beyonc+AMMAqQ urges voters to 'dismantle a racist and unequal system' in the US,"Beyonc+AMMAqQ has been given the humanitarian award at the BET awards, using her speech to encourage viewers to vote +AOIAgACc-like our life depends on it+AOIAgACd in the up +ICY"
Music,"A cut above: Ant+AMMAsw-nio Varia+AMMApwDDALU-es, Portugal's queer pop superstar","In the midst of wild olive trees, a muscular man sporting pink hair and a woman+AOIAgACZ-s swimming costume stares into a mirror. There, at the meeting point o +ICY"
UK-News,Families criticise further delay to Birmingham crush deaths case,Summary: The families of five migrant workers who were crushed to death at a scrap metal plant four years ago say they have been treated +AOIAgACc-as if our lives do no +ICY
Books,Trump's brother tries again to block niece's tell-all book after failed attempt,"Summary: Donald Trump+AOIAgACZ-s brother is making a second attempt to block publication of the much-anticipated book by their niece Mary Trump, about +AOIAgACc-the damaged man +ICY"
Books,Charles Dickens webchat with Kathryn Hughes: your questions answered,"Summary: Thank you to Kathryn for giving us so much of her time, and to everyone who has posted a question. Our reading group theme for July will be put to a v +ICY"
Books,"Poem of the week: Incendiary Art: Ferguson, 2014 by Patricia Smith","Summary: This week+AOIAgACZ-s poem is from Incendiary Art, Patricia Smith+AOIAgACZ-s collection of searing elegies for black lives destroyed. The title of the book +AOIAgACT a 2018 Puli +ICY"
UK-News,"Covid-19 worsening plight of UK migrants, report finds","The coronavirus pandemic has intensified the effects of the hostile environment on undocumented migrants in the UK, with many experiencing loss of inc +ICY"
Books,"Tips, links and suggestions: what are you reading this week?",Welcome to this week+AOIAgACZ-s blogpost. Here+AOIAgACZ-s our roundup of your comments and photos from the last week. Invisible Man by Ralph Ellison has been mrfloydthu +ICY
UK-News,Manchester police searching for cyclist involved in accident,Police in Manchester are searching for a cyclist who collided with a pedestrian who later died in hospital. The cyclist stopped following the accident +ICY
UK-News,Woman challenges police for telling her to cover up anti-Boris Johnson T-shirt,A woman who was challenged by police officers for wearing an anti-Boris Johnson T-shirt at a Black Lives Matter demonstration is launching legal actio +ICY
UK-News,Minister refuses to commit to inquiry after Glasgow attack,"A Home Office minister has refused to commit to an independent inquiry into the treatment of asylum seekers in Glasgow, after a Sudanese man stabbed s +ICY"
UK-News,Leicester lockdown: what are the new Covid-19 restrictions?,A regional flare-up of coronavirus cases means Leicester will not emerge from parts of lockdown as swiftly as the rest of England. Here+AOIAgACZ-s what you nee +ICY
Books,Small Hours: The Long Night of John Martyn by Graeme Thomson +AOIAgACT review,"By the time the mercurial, volatile singer-songwriter John Martyn heard that he had been awarded an OBE for his contribution to British music, he was +ICY"
Books,Young adult books roundup +AOIAgACT review,"It wouldn+AOIAgACZ-t be summer without a sun-drenched coming-of-age story, so beautifully realised in Meg Rosoff+AOIAgACZ-s seductive and elegant The Great Godden (Bloo +ICY"
Music,+AOIAgACY-It+AOIAgACZ-s like we just fell on to this planet+AOIAgACZ: the rise of psych-rockers Khruangbin,"Onstage, the Texan trio Khruangbin are a strange sight to behold. At their sold-out show at London+AOIAgACZ-s near-5,000 capacity O2 Academy Brixton last Decem +ICY"
Music,"Johnny Mandel, Oscar-winning composer behind M*A*S*H theme, dies aged 94","Johnny Mandel, the Oscar and Grammy-winning composer behind the theme from M*A*S*H and more, has died aged 94. Details of his death have not been rele +ICY"
Music,John McKenzie obituary,"midMy friend John McKenzie, who has died aged 64 of cancer, was a consummate bass player who recorded and toured with acts such as Lionel Richie, Bob +ICY"
UK-News,UK intelligence torture case to be held in secret after challenge fails,A judicial review aimed at overturning a decision to ditch a judge-led inquiry into the involvement of British intelligence in torture and rendition w +ICY
Music,Howard Goodall writes choral tribute to health workers who died of coronavirus,"Choirs may have been forced to stop gathering due to the Covid-19 pandemic, but the London Symphony Chorus has found a way to keep singing +AOIAgACT while hon +ICY"
Books,Reading group: which black British author should we read in July?,"Among all the many astonishing things that happened in June, two black British authors topped the UK bestseller charts for the first time. Bernardine +ICY"
Music,"'We used to shout back: No, you get 'em off!' +AOIAgACT Girlschool on 40 years of rocking","It+AOIAgACZ-s hard to fathom why Girlschool aren+AOIAgACZ-t more celebrated. Forty years on from their first album, Demolition +AOIAgACT released in June 1980 +AOIAgACT and they are st +ICY"
UK-News,"Rented e-scooters will be legal from Saturday, says UK government","Summary: Rental e-scooters will be legal on UK streets from Saturday, the government has announced, in a move to improve the availability of coronavirus-proof +ICY"
UK-News,Muddled messaging over Leicester lockdown leaves locals baffled,"Summary: By Tuesday morning, the fact that Leicester was facing a new lockdown was clear. The only question was: what, exactly, did that mean? On a day of conf +ICY"
UK-News,'Office for talent' to be set up for scientists who want to work in UK,"Downing Street is to set up a cross-departmental unit called the +AOIAgACc-office for talent+AOIAgACd as a way to help leading scientists, researchers and others live +ICY"
Books,"Sex Robots & Vegan Meat by Jenny Kleeman review +AOIAgACT the future of food, birth and death?","In a plain factory building in the San Marcos hills, north of San Diego in California, a technological revolution is under way. There, a team of AI ex +ICY"
Music,'We had been beat down a lot': the story behind 60s protest anthem Dancing in the Street,"A few weeks ago, the Motown singer Martha Reeves went to her first protest march since this historic wave began. +AOIAgACc-I saw people from everywhere, walkin +ICY"
Books,Small Pleasures by Clare Chambers review +AOIAgACT a suburban mystery,"In the mid 50s, scientists began to give serious consideration to the possibility of single-sex reproduction. Dr Helen Spurway, a biologist at the Uni +ICY"
Music,"Mickey Madden, Maroon 5 bassist, arrested on domestic violence charges","Mickey Madden, bassist with pop-rock group Maroon 5, has been arrested on charges of domestic violence. Los Angeles police confirmed the arrest to the +ICY"
Music,Beethoven: where to start with his music,It+AOIAgACZ-s not only because this year is the 250th anniversary of his birth that Ludwig van Beethoven (1770-1827) is the obvious composer with whom to begin +ICY
Music,"'One of my singles made +AMIAow-3.58': Manga Saint Hilare, grime's overlooked MC","Manga Saint Hilare should be out touring his new album Make It Out Alive but, like the rest of us, he+AOIAgACZ-s at home using his time to learn new things. +AOIAgACc-I +ICY"
Books,Top 10 best-dressed characters in fiction,"The first clothes in western literature, Adam and Eve+AOIAgACZ-s fig leaves, performed their essential fictional function in drawing attention to the protagoni +ICY"
UK-News,Woman loses legal challenge to NHS charges for pregnant migrants,A woman who faces decades of repayments to the NHS for maternity care has lost a case in the high court challenging the government+AOIAgACZ-s healthcare chargi +ICY
